# 2026-09-13 attribution-trailer correction; commit trees, authors, dates and parent order preserved.
# Existing source-revision and binary-checksum provenance remains unchanged. See HISTORY_REWRITE_20260913.md.
old	new
001d2ff2adaef867fd4b1ea47108e01a22651403	001d2ff2adaef867fd4b1ea47108e01a22651403
00303c6732792650a7b797cd52877166b33f8701	00303c6732792650a7b797cd52877166b33f8701
00acdedd4ea6919d31ec517cbdafa6325b409ba1	00acdedd4ea6919d31ec517cbdafa6325b409ba1
00d091098f63d1c77dcd80430b0d807dd70daedd	1fd9d2d4f8fc2413003d8683790516137f038666
0193ab5a51835ca74e23fc4b7df864ff73a32863	0193ab5a51835ca74e23fc4b7df864ff73a32863
0223f0a16a4c58c9383e910de5283ccd15b4e730	0223f0a16a4c58c9383e910de5283ccd15b4e730
025dd8ecdc640022f4566309007d42511c5650fa	025dd8ecdc640022f4566309007d42511c5650fa
0293ab537a656afe88dfd2e5d45736c192b54d7f	0293ab537a656afe88dfd2e5d45736c192b54d7f
053df9bbabe48b12de6c7fc0745fd1c1320d88d8	053df9bbabe48b12de6c7fc0745fd1c1320d88d8
05705cecbbd71e675e0c3cba98ad015dc46478e6	05705cecbbd71e675e0c3cba98ad015dc46478e6
05a446c72a59b1f74d33448418c1532ca37bd054	05a446c72a59b1f74d33448418c1532ca37bd054
05d59604fe772188b6d5d1b877d13c44e2169979	05d59604fe772188b6d5d1b877d13c44e2169979
0616aeac11ec32abaa998cbcd7d8e55575ba7a22	0616aeac11ec32abaa998cbcd7d8e55575ba7a22
06aacab5e366679a9843db4bd480956f566c9ba6	06aacab5e366679a9843db4bd480956f566c9ba6
072fa11b9dc49ab13545befa5865b2221e25a9ab	072fa11b9dc49ab13545befa5865b2221e25a9ab
075caeb806da2b82689e1402798719925a74f0ea	075caeb806da2b82689e1402798719925a74f0ea
077b2e508321d00b757ba4d0d1e636a97ff55cdb	077b2e508321d00b757ba4d0d1e636a97ff55cdb
07cb578db2eebc9e6c7846ae0e977cc947580001	07cb578db2eebc9e6c7846ae0e977cc947580001
07f7fd7dd78cfba4737fc7c95188b782069ff718	07f7fd7dd78cfba4737fc7c95188b782069ff718
083a20c40c834ec0e8174d8a5fe485579beff9f9	083a20c40c834ec0e8174d8a5fe485579beff9f9
0999cc45a9ccb81f766676b7fb0ff3d8e2a40774	0999cc45a9ccb81f766676b7fb0ff3d8e2a40774
09e23ef181619794b8f886a1a52a9db09c155461	09e23ef181619794b8f886a1a52a9db09c155461
0b5c8281411a282a97e721037459084a60fb176f	0b8f94bcecffbed5d7b71a32553b8789f3c37b09
0b88e6d1436e18b56e4ce624574a241a8ebfb36f	0b88e6d1436e18b56e4ce624574a241a8ebfb36f
